Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Mathieu Choinière,MF,27-144,1.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Jacob Shaffelburg,MF,26-217,4.0,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Promise David,FW,24-363,3.0,0,67.0,0.7,1.0,1.0,0.0,0.0,1.34,1.34,Canada
Niko Sigur,"DF,MF",22-295,2.0,0,40.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Alphonso Davies,"DF,FW",25-241,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Jonathan Osorio,MF,34-019,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Owen Goodman,GK,22-216,0.0,0,,,,,,,,,Canada
Alfie Jones,"DF,MF",28-267,0.0,0,,,,,,,,,Canada
Jayden Nelson,"FW,MF",23-278,0.0,0,,,,,,,,,Canada
Dayne St. Clair,GK,29-053,0.0,0,,,,,,,,,Canada
Joel Waterman,DF,30-158,0.0,0,,,,,,,,,Canada
Jhon Lucumí,DF,28-009,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Colombia
Davinson Sánchez,DF,30-023,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Camilo Vargas,GK,37-118,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Luis Díaz,FW,29-173,4.0,4,358.0,4.0,1.0,1.0,0.0,0.0,0.25,0.25,Colombia
Gustavo Puerta,MF,22-347,4.0,4,349.0,3.9,0.0,1.0,1.0,0.0,0.0,0.26,Colombia
Jefferson Lerma,MF,31-253,4.0,4,329.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,Colombia
